"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1914",213.4938,204.5146,195.8734,187.5749,179.6258,172.0122,164.724,157.7416,151.0549,144.6552,138.5238,132.6487,127.0185,121.6166,116.4425,111.4864,106.7366,102.1875,97.8312,93.66,89.6682,85.846,82.1864,78.6799,75.3225,72.108,69.9703,66.9541,64.0679,61.3061,58.6634,56.1349,53.7156,51.4011,49.1869,47.0687,45.0423,43.1039,41.2492,39.4751,37.7776,36.1535,34.5994,33.1125,31.6895,30.3279,29.0249,27.7779,26.5847,25.4427,24.34966,23.30371,22.30271,21.34468,20.42781,19.55039,18.71064,17.90692,17.13772,16.40163,15.69712,15.02287,14.37759,13.76002,13.16898,12.60332,12.06196,11.54386,11.04801,10.57345,10.11928,9.68463,9.26864,8.87052,8.4895,8.12485,7.77585,7.44185,7.1222,6.81627,6.52349,6.24328,5.97511,5.71846,5.47283,5.23776,5.01277,4.79746,4.59139,4.39417,4.20543,4.02479,3.85191,3.68646,3.52811,3.37657,3.23153,3.09272,2.95988,2.83275,63.1163
"1915",213.2102,204.3234,195.7306,187.4589,179.5178,171.9077,164.6199,157.6419,150.956,144.5525,138.4237,132.5516,126.9254,121.5342,116.3622,111.4089,106.6648,102.1187,97.7651,93.5963,89.6049,85.7854,82.1283,78.6269,75.2721,72.06,68.9847,66.9395,64.0539,61.2927,58.6505,56.1222,53.7032,51.3887,49.1744,47.0561,45.0297,43.0911,41.2366,39.4624,37.7651,36.1411,34.5873,33.1006,31.678,30.3168,29.0141,27.7676,26.5747,25.433,24.34044,23.29491,22.29422,21.33661,20.42003,19.5429,18.70353,17.90008,17.13124,16.39536,15.69112,15.01713,14.37209,13.75475,13.16394,12.5985,12.05735,11.53944,11.04378,10.56941,10.11542,9.68093,9.2651,8.86712,8.48625,8.12174,7.77288,7.43901,7.11947,6.81367,6.52099,6.24089,5.97283,5.71627,5.47074,5.23576,5.01085,4.79562,4.58963,4.3925,4.20382,4.02325,3.85044,3.68505,3.52676,3.37527,3.2303,3.09154,2.95875,2.83166,63.0921
"1916",212.8098,204.0527,195.5466,187.3225,179.4067,171.8045,164.5195,157.5413,150.8591,144.4557,138.3223,132.4521,126.8281,121.4401,116.2778,111.326,106.5842,102.0434,97.6925,93.5264,89.5373,85.7183,82.0639,78.565,75.2153,72.0058,68.9329,65.991,64.0345,61.2741,58.6326,56.1051,53.6865,51.3724,49.1585,47.0403,45.0139,43.0755,41.221,39.4469,37.7497,36.1261,34.5725,33.0862,31.664,30.3032,29.001,27.7549,26.5625,25.4213,24.32923,23.28404,22.28387,21.32667,20.4106,19.53386,18.69477,17.8917,17.12324,16.38771,15.6838,15.01012,14.36538,13.74834,13.1578,12.59262,12.05173,11.53406,11.03863,10.56448,10.1107,9.67641,9.26077,8.86299,8.4823,8.11795,7.76925,7.43554,7.11615,6.81049,6.51796,6.23799,5.97005,5.71361,5.46819,5.23331,5.00852,4.79339,4.58749,4.39044,4.20186,4.02137,3.84864,3.68333,3.52512,3.3737,3.22879,3.0901,2.95737,2.83034,63.0627
"1917",212.2473,203.6691,195.2875,187.1466,179.2756,171.6982,164.4204,157.4457,150.7635,144.3639,138.231,132.3569,126.735,121.3494,116.1906,111.2483,106.5083,101.9698,97.6242,93.4605,89.4741,85.6573,82.0033,78.5069,75.1596,71.9548,68.8843,65.9446,63.1301,61.2584,58.6177,56.0907,53.6727,51.3591,49.1453,47.0272,45.0009,43.0624,41.2079,39.4339,37.7368,36.1131,34.5598,33.0737,31.6518,30.2913,28.9895,27.7437,26.5516,25.4109,24.3192,23.27444,22.27461,21.31783,20.40207,19.52573,18.68694,17.88426,17.11607,16.38086,15.67724,15.00384,14.35937,13.74258,13.15229,12.58735,12.04668,11.52924,11.03401,10.56006,10.10646,9.67236,9.2569,8.85928,8.47874,8.11455,7.766,7.43242,7.11317,6.80764,6.51523,6.23537,5.96754,5.71121,5.4659,5.23112,5.00642,4.79138,4.58557,4.3886,4.2001,4.01969,3.84703,3.68179,3.52364,3.37229,3.22743,3.08881,2.95613,2.82915,63.0363
"1918",211.2971,203.1312,194.9204,186.8988,179.1074,171.5714,164.317,157.3474,150.6667,144.2652,138.134,132.2584,126.6312,121.2465,116.089,111.1497,106.4187,101.8819,97.5388,93.3807,89.397,85.5832,81.9318,78.4364,75.092,71.89,68.8245,65.8875,63.0757,60.3835,58.5933,56.0673,53.6503,51.3375,49.1245,47.007,44.9812,43.043,41.1888,39.415,37.7182,36.0949,34.5419,33.0562,31.6347,30.2746,28.9733,27.7281,26.5366,25.3964,24.30528,23.26112,22.26177,21.30545,20.39025,19.51434,18.67618,17.8739,17.10611,16.37138,15.66815,14.99515,14.35105,13.73462,13.14467,12.58006,12.03969,11.52255,11.02761,10.55394,10.10061,9.66675,9.25153,8.85414,8.47383,8.10984,7.7615,7.42811,7.10905,6.80369,6.51145,6.23176,5.96408,5.7079,5.46273,5.22808,5.00352,4.7886,4.58291,4.38606,4.19767,4.01736,3.8448,3.67965,3.5216,3.37033,3.22557,3.08701,2.95442,2.82751,62.9997
"1919",210.0322,202.2212,194.4047,186.546,178.8666,171.4037,164.1826,157.2257,150.538,144.1236,137.9747,132.0846,126.4403,121.0362,115.8673,110.9192,106.1833,101.65,97.3054,93.1484,89.1706,85.3612,81.7155,78.2262,74.8867,71.692,68.6339,65.7064,62.902,60.2171,57.6467,55.9373,53.5258,51.2183,49.0102,46.8974,44.876,42.9419,41.0916,39.3215,37.6281,36.0082,34.4584,32.9759,31.5576,30.2005,28.9022,27.6598,26.4711,25.3335,24.24503,23.20334,22.20654,21.25256,20.33956,19.46585,18.62966,17.82945,17.0636,16.33062,15.62915,14.95782,14.31532,13.70043,13.11194,12.54874,12.00972,11.49386,11.00016,10.52766,10.07546,9.64268,9.2285,8.8321,8.45273,8.08966,7.74217,7.40962,7.09135,6.78675,6.49523,6.21624,5.94924,5.69369,5.44913,5.21507,4.99106,4.77668,4.57151,4.37515,4.18722,4.00736,3.83523,3.67049,3.51283,3.36194,3.21753,3.07933,2.94706,2.82048,62.8428
"1920",208.4875,201.0109,193.5343,186.0542,178.5314,171.1784,164.0326,157.1159,150.4501,144.0406,137.892,131.9977,126.3514,120.9415,115.763,110.8109,106.0718,101.537,97.1974,93.0394,89.0618,85.2562,81.6125,78.1257,74.7888,71.5953,68.5405,65.6165,62.8176,60.1361,57.5693,55.1118,53.4776,51.172,48.9659,46.855,44.8351,42.9025,41.0535,39.2845,37.5923,35.9733,34.4247,32.9431,31.5257,30.1698,28.8724,27.631,26.4434,25.3069,24.21947,23.17882,22.18294,21.22998,20.31789,19.44508,18.60978,17.81045,17.04538,16.31318,15.61245,14.94184,14.30002,13.68578,13.09792,12.53533,11.99688,11.48158,10.98839,10.51641,10.06468,9.63238,9.21863,8.82266,8.44369,8.08101,7.7339,7.40169,7.08377,6.77949,6.48829,6.2096,5.94287,5.6876,5.4433,5.20949,4.98573,4.77157,4.56662,4.37046,4.18274,4.00308,3.83113,3.66657,3.50908,3.35835,3.21409,3.07603,2.94391,2.81746,62.7757
"1921",206.6262,199.5316,192.3767,185.2207,178.06,170.8587,163.818,156.9731,150.3462,143.9582,137.8149,131.9214,126.2718,120.8607,115.6773,110.7167,105.9741,101.4367,97.0959,92.9427,88.9643,85.159,81.5187,78.0337,74.6989,71.5077,68.454,65.533,62.737,60.0608,57.497,55.0426,52.693,51.1305,48.926,46.8168,44.7984,42.8672,41.0194,39.2516,37.5602,35.9423,34.3944,32.9137,31.4972,30.142,28.8455,27.6052,26.4183,25.2828,24.19621,23.15642,22.1615,21.20927,20.29812,19.42613,18.59165,17.79302,17.02864,16.29722,15.59717,14.92721,14.28601,13.67238,13.08509,12.52304,11.98513,11.47032,10.97763,10.5061,10.05482,9.62294,9.20959,8.81401,8.43542,8.07308,7.72631,7.39444,7.07683,6.77285,6.48193,6.20352,5.93705,5.68203,5.43797,5.20438,4.98084,4.7669,4.56214,4.36618,4.17864,3.99915,3.82737,3.66297,3.50563,3.35505,3.21095,3.07302,2.94102,2.8147,62.7141
"1922",204.4698,197.7501,190.9607,184.1129,177.2627,170.4084,163.5117,156.7681,150.2102,143.8598,137.7373,131.8492,126.2007,120.7869,115.6024,110.6373,105.8867,101.3461,97.0028,92.8486,88.8747,85.0684,81.4284,77.9465,74.6134,71.4243,68.3726,65.4526,62.6593,59.9858,57.4269,54.9754,52.6287,50.382,48.888,46.7802,44.7634,42.8337,40.9872,39.2204,37.5301,35.9129,34.3659,32.886,31.4702,30.1158,28.82,27.5805,26.3944,25.2597,24.1739,23.13496,22.14087,21.18948,20.27914,19.40787,18.57419,17.77626,17.01267,16.28184,15.58245,14.91311,14.27252,13.65945,13.07273,12.5112,11.9738,11.45948,10.96726,10.49618,10.04533,9.61384,9.20089,8.80568,8.42744,8.06545,7.71902,7.38746,7.07014,6.76645,6.47581,6.19764,5.93144,5.67666,5.43283,5.19947,4.97613,4.76239,4.55783,4.36206,4.17469,3.99537,3.82375,3.65952,3.50232,3.35188,3.20791,3.07012,2.93824,2.81204,62.6549
"1923",202.0773,195.6875,189.2566,182.7581,176.2029,169.6459,163.0825,156.4781,150.0186,143.736,137.6516,131.7855,126.1443,120.7332,115.5475,110.5827,105.8287,101.2809,96.935,92.7784,88.8034,85.0013,81.36,77.8779,74.5474,71.3592,68.3089,65.3901,62.5972,59.9259,57.3689,54.9215,52.577,50.3326,48.184,46.7551,44.7393,42.8105,40.9649,39.1989,37.5092,35.8927,34.3461,32.8665,31.4512,30.0972,28.8018,27.5627,26.3771,25.2429,24.15758,23.11926,22.12559,21.1748,20.26497,19.39438,18.56119,17.76373,17.00071,16.27038,15.57147,14.9026,14.26247,13.64983,13.06351,12.50238,11.96535,11.4514,10.95951,10.48877,10.03823,9.60705,9.1944,8.79946,8.4215,8.05976,7.71356,7.38225,7.06514,6.76167,6.47124,6.19328,5.92725,5.67266,5.429,5.1958,4.97262,4.75903,4.55461,4.35897,4.17174,3.99255,3.82106,3.65693,3.49985,3.34952,3.20565,3.06795,2.93617,2.81005,62.6107
"1924",199.5282,193.3979,187.2813,181.1261,174.9062,168.6312,162.3524,156.066,149.7392,143.5501,137.5297,131.6992,126.0781,120.6733,115.4898,110.5233,105.7692,101.218,96.8651,92.706,88.7287,84.9257,81.2885,77.8053,74.4748,71.2894,68.2402,65.323,62.5317,59.8607,57.3061,54.8608,52.5204,50.2784,48.1321,46.0774,44.7109,42.7832,40.9388,39.1739,37.4852,35.8693,34.3235,32.8445,31.4297,30.0761,28.7813,27.5426,26.3576,25.2239,24.13922,23.10143,22.10848,21.15831,20.24909,19.37901,18.54641,17.74964,16.9871,16.2574,15.55904,14.89068,14.25105,13.6389,13.05305,12.49237,11.95577,11.44223,10.95074,10.48036,10.03019,9.59936,9.18703,8.79242,8.41475,8.05331,7.70738,7.37632,7.05949,6.75626,6.46605,6.18831,5.9225,5.66811,5.42464,5.19163,4.96864,4.75522,4.55096,4.35548,4.1684,3.98935,3.818,3.65399,3.49704,3.34684,3.20307,3.06549,2.93382,2.8078,62.5605
"1925",196.9264,190.9574,185.0908,179.2365,173.3439,167.3881,161.3768,155.3604,149.3341,143.2677,137.3322,131.5583,125.9669,120.5774,115.3966,110.4296,105.6722,101.1196,96.7628,92.597,88.6175,84.8131,81.1759,77.6978,74.3673,71.1832,68.1379,65.2232,62.4347,59.7666,57.2136,54.7718,52.4346,50.1977,48.0547,46.0034,44.0395,42.7335,40.8911,39.1281,37.4413,35.8272,34.2829,32.8054,31.3918,30.0396,28.7459,27.5083,26.3244,25.1919,24.10831,23.07161,22.07974,21.13065,20.2225,19.35348,18.52192,17.72619,16.96458,16.23582,15.53836,14.87089,14.2321,13.62076,13.03568,12.47574,11.93985,11.42699,10.93616,10.4664,10.01684,9.58657,9.17479,8.78071,8.40354,8.04258,7.69712,7.3665,7.05009,6.74726,6.45744,6.18007,5.91462,5.66056,5.41742,5.18472,4.96202,4.74888,4.5449,4.34968,4.16284,3.98404,3.81291,3.64913,3.49239,3.34238,3.19881,3.06141,2.92992,2.80406,62.4772
"1926",194.4155,188.468,182.7549,177.1393,171.5342,165.891,160.1841,154.4216,148.6508,142.8688,137.0472,131.3511,125.8108,120.4471,115.279,110.313,105.554,100.9976,96.6394,92.47,88.4846,84.6786,81.0408,77.5635,74.2387,71.0557,68.0126,65.1024,62.3172,59.6526,57.1033,54.664,52.3309,50.0978,47.9605,45.9131,43.9531,42.0767,40.8289,39.0686,37.3842,35.7726,34.2305,32.7549,31.3433,29.9927,28.7007,27.4647,26.2824,25.1512,24.06905,23.03374,22.04327,21.09565,20.18886,19.3212,18.49088,17.69638,16.93608,16.2085,15.5122,14.84583,14.2081,13.59778,13.01368,12.45469,11.9197,11.4077,10.91769,10.44873,9.99992,9.57039,9.15931,8.76588,8.38936,8.029,7.68412,7.35407,7.03818,6.73587,6.44654,6.16964,5.90463,5.651,5.40827,5.17597,4.95364,4.74086,4.53723,4.34234,4.15581,3.97732,3.80647,3.64297,3.48649,3.33673,3.19341,3.05624,2.92497,2.79932,62.3717
"1927",192.143,186.064,180.372,174.9033,169.5257,164.1563,158.7461,153.2706,147.7377,142.1939,136.6377,131.0436,125.5714,120.2506,115.1022,110.1445,105.3836,100.824,96.4611,92.2902,88.3018,84.4911,80.8531,77.3767,74.0545,70.8788,67.8386,64.9326,62.1537,59.4942,56.9501,54.5161,52.1871,49.9597,47.8277,45.7872,43.8324,41.9613,40.1699,38.9787,37.2981,35.6901,34.1515,32.6792,31.2706,29.9229,28.6336,27.4001,26.2201,25.0913,24.01141,22.9783,21.99001,21.04437,20.13964,19.27402,18.44563,17.65294,16.89443,16.16863,15.474,14.80926,14.17308,13.56425,12.98159,12.42396,11.89029,11.37955,10.89075,10.42295,9.97525,9.54677,9.1367,8.74424,8.36865,8.00919,7.66516,7.33592,7.02081,6.71924,6.43062,6.1544,5.89005,5.63705,5.39493,5.1632,4.94141,4.72917,4.52603,4.33162,4.14556,3.9675,3.79708,3.63398,3.47789,3.3285,3.18553,3.0487,2.91775,2.79242,62.2177
"1928",190.265,183.8903,178.0711,172.622,167.3856,162.2315,157.0809,151.8858,146.6229,141.301,135.9665,130.62,125.2393,119.9783,114.8664,109.924,105.1685,100.6055,96.2388,92.0633,88.074,84.2613,80.6199,77.1449,73.8253,70.6538,67.6224,64.7209,61.9477,59.296,56.7585,54.3312,52.0089,49.7869,47.6618,45.6279,43.6812,41.8163,40.0312,38.3222,37.1858,35.5825,34.0485,32.5806,31.1761,29.8322,28.5465,27.3165,26.1397,25.01406,23.93711,22.90699,21.92138,20.97851,20.07644,19.21326,18.38739,17.5972,16.84097,16.11738,15.42491,14.76223,14.12806,13.52115,12.94032,12.38446,11.85249,11.34336,10.85612,10.3898,9.94352,9.5164,9.10764,8.71643,8.34203,7.98371,7.64078,7.31258,6.99848,6.69787,6.41017,6.13483,5.87132,5.61912,5.37776,5.14677,4.9257,4.71412,4.51163,4.31784,4.13237,3.95487,3.785,3.62242,3.46682,3.31791,3.1754,3.039,2.90847,2.78353,62.0199
"1929",188.9229,182.0924,175.9905,170.4202,165.2017,160.1827,155.2386,150.2922,145.2978,140.2345,135.1128,129.9789,124.8353,119.6623,114.608,109.701,104.9604,100.4028,96.0331,91.8541,87.8605,84.0469,80.4037,76.9254,73.6071,70.4379,67.4104,64.5172,61.7484,59.102,56.5719,54.1507,51.8347,49.6189,47.499,45.4715,43.531,41.6737,39.8946,38.1914,36.561,35.4768,33.9472,32.4836,31.0832,29.7433,28.4612,27.2346,26.0611,24.9384,23.86445,22.83703,21.85422,20.91394,20.01434,19.15371,18.33028,17.5424,16.78848,16.06702,15.37666,14.71602,14.0838,13.47877,12.89975,12.34562,11.8153,11.30778,10.82206,10.3572,9.91232,9.48654,9.07905,8.68907,8.31584,7.95865,7.6168,7.28963,6.97651,6.67685,6.39005,6.11557,5.85289,5.60149,5.36088,5.13061,4.91024,4.69933,4.49747,4.30429,4.1194,3.94246,3.77312,3.61105,3.45595,3.3075,3.16543,3.02947,2.89933,2.7748,61.8252
